probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11756301_x_at,TSTA3,0.0276,1.0,1.9330776999999983,0.7686
11719581_a_at,BPGM,0.0107,1.0,3.3879618999999996,0.6646
11716876_a_at,TSTA3,0.0186,1.0,1.744369466666666,0.5793
11745300_a_at,DNAJC6,0.0097,1.0,2.7797734333333333,0.5619
11728821_a_at,HEPACAM2,0.0093,1.0,2.665415500000001,0.5388
11716262_a_at,AP2B1,0.0164,1.0,1.5696485666666673,0.5152
11732236_a_at,GYPA,0.0026,0.4,3.306031566666667,0.5064
11720807_x_at,EIF1AY,0.0002,0.2,3.5986673666666675,0.5036
11725497_a_at,RAP1GAP,0.0026,0.6,3.251957766666667,0.4989
11729582_s_at,CA1,0.0,0.2,3.5690905000000015,0.4959
11721930_a_at,TMCC2,0.006,0.8,2.760081200000001,0.4922
11756003_x_at,IGF2 /// INS-IGF2,0.0012,1.0,3.3839208999999992,0.4919
11740680_s_at,RHCE /// RHD,0.001,0.2,3.393371066666668,0.4896
11739379_a_at,FAM198B,0.0139,0.8,1.6821461666666657,0.4855
11729583_x_at,CA1,0.001,0.2,3.3250272333333335,0.4801
11739787_a_at,IGF2 /// INS-IGF2,0.0,0.8,3.452315566666668,0.4797
11720604_x_at,STOM,0.0165,1.0,1.2986570000000004,0.4793
11736395_a_at,BPGM,0.0009,0.2,3.326534500000002,0.4785
11736696_a_at,HEMGN,0.0038,0.4,2.943764233333332,0.4778
11721029_a_at,PIP5K1B,0.0107,1.0,2.0196019666666665,0.4744
11751359_a_at,REXO2,0.0131,1.0,1.6742820999999992,0.4699
11736538_s_at,RHCE /// RHD,0.001,0.2,3.241274266666667,0.4685
11742315_s_at,RHCE /// RHD,0.0001,0.2,3.3175550666666664,0.4628
11742143_s_at,RHCE /// RHD,0.0,1.0,3.308573133333333,0.4597
11727161_a_at,NFIX,0.008,0.8,2.259005466666669,0.4588
11761538_x_at,TSTA3,0.011,0.8,1.8240181666666668,0.4527
11756160_x_at,CTNNAL1,0.0066,0.8,2.3980114666666674,0.4527
11737280_at,IFIT1B,0.0018,1.0,2.997013800000002,0.449
